Results pasted from terminal:

python baseline_gnn.py
Epoch 1/100, Train Loss: 0.9290, Val Loss: 0.8764
Epoch 2/100, Train Loss: 0.8808, Val Loss: 0.8636
Epoch 3/100, Train Loss: 0.8752, Val Loss: 0.8605
Epoch 4/100, Train Loss: 0.8724, Val Loss: 0.8575
Epoch 5/100, Train Loss: 0.8700, Val Loss: 0.8559
Epoch 6/100, Train Loss: 0.8664, Val Loss: 0.8509
Epoch 7/100, Train Loss: 0.8636, Val Loss: 0.8491
Epoch 8/100, Train Loss: 0.8604, Val Loss: 0.8460
Epoch 9/100, Train Loss: 0.8580, Val Loss: 0.8446
Epoch 10/100, Train Loss: 0.8574, Val Loss: 0.8432
Epoch 11/100, Train Loss: 0.8559, Val Loss: 0.8426
Epoch 12/100, Train Loss: 0.8547, Val Loss: 0.8415
Epoch 13/100, Train Loss: 0.8543, Val Loss: 0.8428
Epoch 14/100, Train Loss: 0.8532, Val Loss: 0.8419
Epoch 15/100, Train Loss: 0.8520, Val Loss: 0.8457
Epoch 16/100, Train Loss: 0.8519, Val Loss: 0.8404
Epoch 17/100, Train Loss: 0.8507, Val Loss: 0.8435
Epoch 18/100, Train Loss: 0.8509, Val Loss: 0.8397
Epoch 19/100, Train Loss: 0.8504, Val Loss: 0.8398
Epoch 20/100, Train Loss: 0.8499, Val Loss: 0.8410
Epoch 21/100, Train Loss: 0.8498, Val Loss: 0.8401
Epoch 22/100, Train Loss: 0.8488, Val Loss: 0.8391
Epoch 23/100, Train Loss: 0.8494, Val Loss: 0.8391
Epoch 24/100, Train Loss: 0.8490, Val Loss: 0.8404
Epoch 25/100, Train Loss: 0.8488, Val Loss: 0.8384
Epoch 26/100, Train Loss: 0.8486, Val Loss: 0.8387
Epoch 27/100, Train Loss: 0.8483, Val Loss: 0.8377
Epoch 28/100, Train Loss: 0.8483, Val Loss: 0.8388
Epoch 29/100, Train Loss: 0.8481, Val Loss: 0.8383
Epoch 30/100, Train Loss: 0.8476, Val Loss: 0.8385
Epoch 31/100, Train Loss: 0.8477, Val Loss: 0.8370
Epoch 32/100, Train Loss: 0.8480, Val Loss: 0.8382
Epoch 33/100, Train Loss: 0.8479, Val Loss: 0.8378
Epoch 34/100, Train Loss: 0.8475, Val Loss: 0.8374
Epoch 35/100, Train Loss: 0.8473, Val Loss: 0.8389
Epoch 36/100, Train Loss: 0.8470, Val Loss: 0.8374
Early stopping triggered.

python advanced_gat.py
/opt/anaconda3/envs/GNN/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:60: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
[Advanced GAT] Epoch 1/100, Train Loss: 0.9410, Val Loss: 1.3357
[Advanced GAT] Epoch 2/100, Train Loss: 0.8515, Val Loss: 1.3217
[Advanced GAT] Epoch 3/100, Train Loss: 0.8323, Val Loss: 1.3171
[Advanced GAT] Epoch 4/100, Train Loss: 0.8245, Val Loss: 1.3110
[Advanced GAT] Epoch 5/100, Train Loss: 0.8180, Val Loss: 1.3056
[Advanced GAT] Epoch 6/100, Train Loss: 0.8138, Val Loss: 1.3075
[Advanced GAT] Epoch 7/100, Train Loss: 0.8098, Val Loss: 1.2955
[Advanced GAT] Epoch 8/100, Train Loss: 0.8052, Val Loss: 1.2932
[Advanced GAT] Epoch 9/100, Train Loss: 0.8047, Val Loss: 1.2941
[Advanced GAT] Epoch 10/100, Train Loss: 0.8007, Val Loss: 1.2947
[Advanced GAT] Epoch 11/100, Train Loss: 0.7995, Val Loss: 1.2925
[Advanced GAT] Epoch 12/100, Train Loss: 0.7986, Val Loss: 1.2930
[Advanced GAT] Epoch 13/100, Train Loss: 0.7974, Val Loss: 1.2910
[Advanced GAT] Epoch 14/100, Train Loss: 0.7973, Val Loss: 1.2882
[Advanced GAT] Epoch 15/100, Train Loss: 0.7962, Val Loss: 1.2911
[Advanced GAT] Epoch 16/100, Train Loss: 0.7953, Val Loss: 1.2886
[Advanced GAT] Epoch 17/100, Train Loss: 0.7955, Val Loss: 1.2914
[Advanced GAT] Epoch 18/100, Train Loss: 0.7946, Val Loss: 1.2880
[Advanced GAT] Epoch 19/100, Train Loss: 0.7944, Val Loss: 1.2885
[Advanced GAT] Epoch 20/100, Train Loss: 0.7942, Val Loss: 1.2894
