number,value,datetime_start,datetime_complete,duration,params_dropout,params_grad_clip,params_heads,params_hid_dim,params_layers,params_lr,params_weight_decay,state
0,-1.1406384617090226,2024-12-13 23:49:50.285292,2024-12-14 00:35:40.967023,0 days 00:45:50.681731,0.30000000000000004,10.0,16,128,4,0.0026070247583707684,1.0994335574766187e-05,COMPLETE
1,-1.1325003097454707,2024-12-14 00:35:40.967924,2024-12-14 00:45:51.287564,0 days 00:10:10.319640,0.30000000000000004,4.0,4,64,2,0.00019010245319870352,3.8396292998041685e-05,COMPLETE
2,-1.1497812439997992,2024-12-14 00:45:51.288458,2024-12-14 01:01:44.811731,0 days 00:15:53.523273,0.0,9.0,8,128,4,0.007902619549708232,0.0008536189862866829,COMPLETE
3,-1.1339555074771246,2024-12-14 01:01:44.812401,2024-12-14 02:42:24.413086,0 days 01:40:39.600685,0.1,6.0,16,256,4,0.0021137059440645726,4.201672054372529e-05,COMPLETE
4,-1.136976765592893,2024-12-14 02:42:24.413783,2024-12-14 02:57:17.421570,0 days 00:14:53.007787,0.0,4.0,2,256,5,0.0002465844721448739,1.2315571723666024e-05,COMPLETE
5,-1.1555515905221303,2024-12-14 02:57:17.422219,2024-12-14 03:26:12.927858,0 days 00:28:55.505639,0.0,2.0,16,256,3,0.009413993046829943,0.0003503398491158688,COMPLETE
6,-1.139740624030431,2024-12-14 03:26:12.928524,2024-12-14 03:35:28.597992,0 days 00:09:15.669468,0.5,1.0,2,128,5,0.0017643967683381545,4.589824181495648e-05,COMPLETE
7,-1.1357082550724347,2024-12-14 03:35:28.598621,2024-12-14 04:16:29.339599,0 days 00:41:00.740978,0.4,5.0,2,256,5,0.0013260331922696556,0.0003482846706526884,COMPLETE
8,-1.134755016863346,2024-12-14 04:16:29.339967,2024-12-14 04:24:11.373253,0 days 00:07:42.033286,0.5,8.0,4,64,2,0.00031519872951938895,6.618595597183474e-05,COMPLETE
9,-1.1475705300768217,2024-12-14 04:24:11.374143,2024-12-14 04:30:39.424223,0 days 00:06:28.050080,0.4,6.0,2,256,2,0.00023612399244412623,0.0006097025297491432,COMPLETE
10,-1.1326077620188395,2024-12-14 04:30:39.424799,2024-12-14 04:47:16.740778,0 days 00:16:37.315979,0.2,3.0,4,64,3,0.00010719512356518987,0.00014138916628611962,COMPLETE
11,-1.1338019187251727,2024-12-14 04:47:16.741133,2024-12-14 04:57:25.308953,0 days 00:10:08.567820,0.2,3.0,4,64,3,0.00010425684126003983,0.00013589010546038487,COMPLETE
12,-1.1329597517848016,2024-12-14 04:57:25.309631,2024-12-14 05:11:24.909425,0 days 00:13:59.599794,0.2,3.0,4,64,3,0.00010379876896856275,0.0001270727650677548,COMPLETE
13,-1.1354522436857224,2024-12-14 05:11:24.910434,2024-12-14 05:15:30.617508,0 days 00:04:05.707074,0.30000000000000004,4.0,4,64,2,0.0005870988350383093,2.3390346209858526e-05,COMPLETE
14,-1.1287677153944968,2024-12-14 05:15:30.618002,2024-12-14 05:41:14.952638,0 days 00:25:44.334636,0.2,1.0,4,64,6,0.000550949863692937,0.00020439417470891896,COMPLETE
15,-1.132658692697684,2024-12-14 05:41:14.953942,2024-12-14 06:06:30.212776,0 days 00:25:15.258834,0.1,1.0,8,64,6,0.0006793020634935387,0.0002657628617812406,COMPLETE
16,-1.135366869966189,2024-12-14 06:06:30.214088,2024-12-14 06:17:59.428669,0 days 00:11:29.214581,0.30000000000000004,7.0,4,64,6,0.0004357966786772617,2.6451138006587056e-05,COMPLETE
17,-1.1349729960163435,2024-12-14 06:17:59.428999,2024-12-14 06:41:21.070143,0 days 00:23:21.641144,0.4,1.0,4,64,6,0.00019444993031674182,7.599009389034519e-05,COMPLETE
18,-1.1324437568585077,2024-12-14 06:41:21.071409,2024-12-14 06:57:01.424287,0 days 00:15:40.352878,0.1,5.0,4,64,5,0.0006670414286946525,0.00025965037677653797,COMPLETE
19,-1.1293537894884744,2024-12-14 06:57:01.424914,2024-12-14 07:26:23.910051,0 days 00:29:22.485137,0.1,7.0,8,64,5,0.000805654938090634,0.00020045535620753498,COMPLETE
20,-1.14876233090957,2024-12-14 07:26:23.910826,2024-12-14 07:55:58.814088,0 days 00:29:34.903262,0.1,8.0,8,128,6,0.004801951002437772,0.0001761513328256898,COMPLETE
21,-1.1323840538660686,2024-12-14 07:55:58.815742,2024-12-14 08:20:43.340197,0 days 00:24:44.524455,0.1,7.0,8,64,5,0.000987979096696007,0.00023689232696427176,COMPLETE
22,-1.1334652115901311,2024-12-14 08:20:43.340970,2024-12-14 08:43:13.853206,0 days 00:22:30.512236,0.1,7.0,8,64,5,0.0011513612208811036,0.0004822009135999483,COMPLETE
