2024-12-13 21:03:24,341 Starting experiment run_id=final_run
2024-12-13 21:03:24,683 Running seed 0
2024-12-13 21:04:12,506 [Pretraining] Seed 0 Epoch 1/50: Train Loss 0.0880, Val Loss 0.0393
2024-12-13 21:05:01,650 [Pretraining] Seed 0 Epoch 2/50: Train Loss 0.0225, Val Loss 0.0286
2024-12-13 21:05:50,665 [Pretraining] Seed 0 Epoch 3/50: Train Loss 0.0126, Val Loss 0.0414
2024-12-13 21:06:41,278 [Pretraining] Seed 0 Epoch 4/50: Train Loss 0.0118, Val Loss 0.0370
2024-12-13 21:07:18,345 [Pretraining] Seed 0 Epoch 5/50: Train Loss 0.0090, Val Loss 0.0282
2024-12-13 21:08:01,407 [Pretraining] Seed 0 Epoch 6/50: Train Loss 0.0079, Val Loss 0.0249
2024-12-13 21:08:44,989 [Pretraining] Seed 0 Epoch 7/50: Train Loss 0.0092, Val Loss 0.0206
2024-12-13 21:09:28,501 [Pretraining] Seed 0 Epoch 8/50: Train Loss 0.0065, Val Loss 0.0298
2024-12-13 21:10:11,868 [Pretraining] Seed 0 Epoch 9/50: Train Loss 0.0056, Val Loss 0.0424
2024-12-13 21:10:57,890 [Pretraining] Seed 0 Epoch 10/50: Train Loss 0.0072, Val Loss 0.0326
2024-12-13 21:11:44,371 [Pretraining] Seed 0 Epoch 11/50: Train Loss 0.0059, Val Loss 0.0343
2024-12-13 21:12:31,588 [Pretraining] Seed 0 Epoch 12/50: Train Loss 0.0061, Val Loss 0.0424
2024-12-13 21:13:21,255 [Pretraining] Seed 0 Epoch 13/50: Train Loss 0.0043, Val Loss 0.0329
2024-12-13 21:14:15,063 [Pretraining] Seed 0 Epoch 14/50: Train Loss 0.0023, Val Loss 0.0260
2024-12-13 21:15:06,523 [Pretraining] Seed 0 Epoch 15/50: Train Loss 0.0020, Val Loss 0.0197
2024-12-13 21:15:58,989 [Pretraining] Seed 0 Epoch 16/50: Train Loss 0.0023, Val Loss 0.0197
2024-12-13 21:16:51,477 [Pretraining] Seed 0 Epoch 17/50: Train Loss 0.0027, Val Loss 0.0216
2024-12-13 21:17:44,069 [Pretraining] Seed 0 Epoch 18/50: Train Loss 0.0029, Val Loss 0.0281
2024-12-13 21:18:36,141 [Pretraining] Seed 0 Epoch 19/50: Train Loss 0.0022, Val Loss 0.0356
2024-12-13 21:19:27,477 [Pretraining] Seed 0 Epoch 20/50: Train Loss 0.0021, Val Loss 0.0212
2024-12-13 21:20:16,465 [Pretraining] Seed 0 Epoch 21/50: Train Loss 0.0023, Val Loss 0.0245
2024-12-13 21:21:07,252 [Pretraining] Seed 0 Epoch 22/50: Train Loss 0.0016, Val Loss 0.0208
2024-12-13 21:21:59,653 [Pretraining] Seed 0 Epoch 23/50: Train Loss 0.0014, Val Loss 0.0280
2024-12-13 21:22:52,731 [Pretraining] Seed 0 Epoch 24/50: Train Loss 0.0014, Val Loss 0.0213
2024-12-13 21:23:45,360 [Pretraining] Seed 0 Epoch 25/50: Train Loss 0.0013, Val Loss 0.0227
2024-12-13 21:23:45,361 Early stopping pretraining seed 0
2024-12-13 21:24:04,809 [Supervised] Seed 0 Epoch 1/50: Train Loss 0.9954, Val Loss 0.5401
2024-12-13 21:24:24,252 [Supervised] Seed 0 Epoch 2/50: Train Loss 0.9205, Val Loss 0.5342
2024-12-13 21:24:42,893 [Supervised] Seed 0 Epoch 3/50: Train Loss 0.9153, Val Loss 0.5360
2024-12-13 21:25:01,356 [Supervised] Seed 0 Epoch 4/50: Train Loss 0.9135, Val Loss 0.5319
2024-12-13 21:25:20,883 [Supervised] Seed 0 Epoch 5/50: Train Loss 0.9112, Val Loss 0.5340
2024-12-13 21:25:39,604 [Supervised] Seed 0 Epoch 6/50: Train Loss 0.9109, Val Loss 0.5305
2024-12-13 21:25:58,016 [Supervised] Seed 0 Epoch 7/50: Train Loss 0.9095, Val Loss 0.5339
2024-12-13 21:26:16,380 [Supervised] Seed 0 Epoch 8/50: Train Loss 0.9098, Val Loss 0.5296
2024-12-13 21:26:35,209 [Supervised] Seed 0 Epoch 9/50: Train Loss 0.9091, Val Loss 0.5310
2024-12-13 21:26:54,030 [Supervised] Seed 0 Epoch 10/50: Train Loss 0.9082, Val Loss 0.5293
2024-12-13 21:27:12,875 [Supervised] Seed 0 Epoch 11/50: Train Loss 0.9074, Val Loss 0.5285
2024-12-13 21:27:32,537 [Supervised] Seed 0 Epoch 12/50: Train Loss 0.9068, Val Loss 0.5284
2024-12-13 21:27:51,585 [Supervised] Seed 0 Epoch 13/50: Train Loss 0.9066, Val Loss 0.5267
2024-12-13 21:28:10,345 [Supervised] Seed 0 Epoch 14/50: Train Loss 0.9059, Val Loss 0.5257
2024-12-13 21:28:28,595 [Supervised] Seed 0 Epoch 15/50: Train Loss 0.9057, Val Loss 0.5252
2024-12-13 21:28:45,921 [Supervised] Seed 0 Epoch 16/50: Train Loss 0.9067, Val Loss 0.5290
2024-12-13 21:29:03,820 [Supervised] Seed 0 Epoch 17/50: Train Loss 0.9056, Val Loss 0.5275
2024-12-13 21:29:22,323 [Supervised] Seed 0 Epoch 18/50: Train Loss 0.9060, Val Loss 0.5275
2024-12-13 21:29:40,862 [Supervised] Seed 0 Epoch 19/50: Train Loss 0.9037, Val Loss 0.5268
2024-12-13 21:29:59,273 [Supervised] Seed 0 Epoch 20/50: Train Loss 0.9042, Val Loss 0.5287
2024-12-13 21:30:18,621 [Supervised] Seed 0 Epoch 21/50: Train Loss 0.9030, Val Loss 0.5235
2024-12-13 21:30:37,286 [Supervised] Seed 0 Epoch 22/50: Train Loss 0.9048, Val Loss 0.5277
2024-12-13 21:30:58,972 [Supervised] Seed 0 Epoch 23/50: Train Loss 0.9054, Val Loss 0.5253
2024-12-13 21:31:21,362 [Supervised] Seed 0 Epoch 24/50: Train Loss 0.9034, Val Loss 0.5392
2024-12-13 21:31:43,293 [Supervised] Seed 0 Epoch 25/50: Train Loss 0.9059, Val Loss 0.5282
2024-12-13 21:32:06,307 [Supervised] Seed 0 Epoch 26/50: Train Loss 0.9053, Val Loss 0.5305
2024-12-13 21:32:28,603 [Supervised] Seed 0 Epoch 27/50: Train Loss 0.9064, Val Loss 0.5275
2024-12-13 21:32:51,977 [Supervised] Seed 0 Epoch 28/50: Train Loss 0.9042, Val Loss 0.5264
2024-12-13 21:33:14,678 [Supervised] Seed 0 Epoch 29/50: Train Loss 0.9037, Val Loss 0.5253
2024-12-13 21:33:37,432 [Supervised] Seed 0 Epoch 30/50: Train Loss 0.9030, Val Loss 0.5268
2024-12-13 21:33:59,638 [Supervised] Seed 0 Epoch 31/50: Train Loss 0.9013, Val Loss 0.5208
2024-12-13 21:34:22,781 [Supervised] Seed 0 Epoch 32/50: Train Loss 0.8978, Val Loss 0.5173
2024-12-13 21:34:45,620 [Supervised] Seed 0 Epoch 33/50: Train Loss 0.8972, Val Loss 0.5128
2024-12-13 21:35:08,444 [Supervised] Seed 0 Epoch 34/50: Train Loss 0.8944, Val Loss 0.5125
2024-12-13 21:35:30,373 [Supervised] Seed 0 Epoch 35/50: Train Loss 0.8924, Val Loss 0.5122
2024-12-13 21:35:54,355 [Supervised] Seed 0 Epoch 36/50: Train Loss 0.8932, Val Loss 0.5137
2024-12-13 21:36:17,381 [Supervised] Seed 0 Epoch 37/50: Train Loss 0.8920, Val Loss 0.5124
2024-12-13 21:36:40,683 [Supervised] Seed 0 Epoch 38/50: Train Loss 0.8925, Val Loss 0.5116
2024-12-13 21:37:04,034 [Supervised] Seed 0 Epoch 39/50: Train Loss 0.8920, Val Loss 0.5145
2024-12-13 21:37:28,434 [Supervised] Seed 0 Epoch 40/50: Train Loss 0.8919, Val Loss 0.5122
2024-12-13 21:37:50,820 [Supervised] Seed 0 Epoch 41/50: Train Loss 0.8928, Val Loss 0.5128
2024-12-13 21:38:13,252 [Supervised] Seed 0 Epoch 42/50: Train Loss 0.8916, Val Loss 0.5123
2024-12-13 21:38:36,231 [Supervised] Seed 0 Epoch 43/50: Train Loss 0.8911, Val Loss 0.5140
2024-12-13 21:38:59,584 [Supervised] Seed 0 Epoch 44/50: Train Loss 0.8914, Val Loss 0.5129
2024-12-13 21:39:23,892 [Supervised] Seed 0 Epoch 45/50: Train Loss 0.8901, Val Loss 0.5119
2024-12-13 21:39:45,937 [Supervised] Seed 0 Epoch 46/50: Train Loss 0.8900, Val Loss 0.5112
2024-12-13 21:40:08,818 [Supervised] Seed 0 Epoch 47/50: Train Loss 0.8897, Val Loss 0.5132
